,Seq,Dur,RunTime,Mean,Sum,Min,Max,sTos,sTtl,sHops,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Rate,SrcRate,DstRate,TcpRtt,SynAck,AckDat
Seq,1.0,-0.04632865903960933,-0.04632865903960933,-0.04632865903960933,-0.04632865903960933,-0.04632865903960933,-0.04632865903960933,-0.09520098143839983,-0.12478763583968873,-0.24673440209668565,-0.178908067361804,-0.08344244423280249,-0.4544977082890338,-0.3357900147555144,-0.25709920737332387,-0.45172909320119253,0.8005327088531746,-0.5211939200293421,-0.4480140789328142,-0.12037179455416183,-0.11148025689355386,-0.38638268774687295,-0.06424366831096194,-0.057293831798032255,-0.033723581365941245,-0.06430356399391739,-0.15393632481773958,-0.10615179709751096,-0.3903859140467881,-0.3469373348763938,-0.35821283967013395,-0.33836830802721807
Dur,-0.04632865903960933,1.0,1.0,1.0,1.0,1.0,1.0,-0.0005173130832081741,-0.03355823962442967,-0.258323995789599,0.8901306846898916,0.9156212362053755,0.31171207009953883,0.7623799663411589,0.820078880255842,0.30971824083113214,-0.04384537610809796,0.08248901348027297,0.297067532414655,0.8599061139019378,0.8558539716075569,0.45012561566556375,0.089283017579396,0.02761795554687759,0.10507653150073043,0.08838029194993141,0.8454145053562262,0.8515199726324105,0.4469280512130657,0.1543327370989802,0.16870025001425784,0.1523166517221684
RunTime,-0.04632865903960933,1.0,1.0,1.0,1.0,1.0,1.0,-0.0005173130832081741,-0.03355823962442967,-0.258323995789599,0.8901306846898916,0.9156212362053755,0.31171207009953883,0.7623799663411589,0.820078880255842,0.30971824083113214,-0.04384537610809796,0.08248901348027297,0.297067532414655,0.8599061139019378,0.8558539716075569,0.45012561566556375,0.089283017579396,0.02761795554687759,0.10507653150073043,0.08838029194993141,0.8454145053562262,0.8515199726324105,0.4469280512130657,0.1543327370989802,0.16870025001425784,0.1523166517221684
Mean,-0.04632865903960933,1.0,1.0,1.0,1.0,1.0,1.0,-0.0005173130832081741,-0.03355823962442967,-0.258323995789599,0.8901306846898916,0.9156212362053755,0.31171207009953883,0.7623799663411589,0.820078880255842,0.30971824083113214,-0.04384537610809796,0.08248901348027297,0.297067532414655,0.8599061139019378,0.8558539716075569,0.45012561566556375,0.089283017579396,0.02761795554687759,0.10507653150073043,0.08838029194993141,0.8454145053562262,0.8515199726324105,0.4469280512130657,0.1543327370989802,0.16870025001425784,0.1523166517221684
Sum,-0.04632865903960933,1.0,1.0,1.0,1.0,1.0,1.0,-0.0005173130832081741,-0.03355823962442967,-0.258323995789599,0.8901306846898916,0.9156212362053755,0.31171207009953883,0.7623799663411589,0.820078880255842,0.30971824083113214,-0.04384537610809796,0.08248901348027297,0.297067532414655,0.8599061139019378,0.8558539716075569,0.45012561566556375,0.089283017579396,0.02761795554687759,0.10507653150073043,0.08838029194993141,0.8454145053562262,0.8515199726324105,0.4469280512130657,0.1543327370989802,0.16870025001425784,0.1523166517221684
Min,-0.04632865903960933,1.0,1.0,1.0,1.0,1.0,1.0,-0.0005173130832081741,-0.03355823962442967,-0.258323995789599,0.8901306846898916,0.9156212362053755,0.31171207009953883,0.7623799663411589,0.820078880255842,0.30971824083113214,-0.04384537610809796,0.08248901348027297,0.297067532414655,0.8599061139019378,0.8558539716075569,0.45012561566556375,0.089283017579396,0.02761795554687759,0.10507653150073043,0.08838029194993141,0.8454145053562262,0.8515199726324105,0.4469280512130657,0.1543327370989802,0.16870025001425784,0.1523166517221684
Max,-0.04632865903960933,1.0,1.0,1.0,1.0,1.0,1.0,-0.0005173130832081741,-0.03355823962442967,-0.258323995789599,0.8901306846898916,0.9156212362053755,0.31171207009953883,0.7623799663411589,0.820078880255842,0.30971824083113214,-0.04384537610809796,0.08248901348027297,0.297067532414655,0.8599061139019378,0.8558539716075569,0.45012561566556375,0.089283017579396,0.02761795554687759,0.10507653150073043,0.08838029194993141,0.8454145053562262,0.8515199726324105,0.4469280512130657,0.1543327370989802,0.16870025001425784,0.1523166517221684
sTos,-0.09520098143839983,-0.0005173130832081741,-0.0005173130832081741,-0.0005173130832081741,-0.0005173130832081741,-0.0005173130832081741,-0.0005173130832081741,1.0,0.16776144654555655,0.029154095812524233,0.0462635414554429,-0.0136059368410621,0.08484857492467464,0.09313690898022069,0.08121512080361466,0.09032056612083952,-0.06890553919339899,0.11513106873209873,0.10033798531234027,-0.008369915968341435,-0.006990388463986348,0.02029534764956251,0.04225843125956732,0.060171269744320154,-0.005593990791799628,0.04217194049214914,0.050601477399776766,-0.011949369333462773,0.02121976238515617,-0.034822205536345824,-0.034822205665835486,-0.0340519247946604
sTtl,-0.12478763583968873,-0.03355823962442967,-0.03355823962442967,-0.03355823962442967,-0.03355823962442967,-0.03355823962442967,-0.03355823962442967,0.16776144654555655,1.0,0.14818715210660655,0.00993132258872191,0.01988327591137917,0.08328340058987099,0.08572592343238693,0.10058182083996575,0.08001298276813966,-0.11014569999698993,0.37294837954227705,0.07908104972650058,0.026166185501746347,0.027946046514303186,0.11984063165987507,0.06672531121363894,0.09997851330638381,-0.01212639819608227,0.06736077345246126,0.011268620001980941,0.0197639090248899,0.12358424059675659,-0.06692473675681991,-0.06431854664018696,-0.07648983043238665
sHops,-0.24673440209668565,-0.258323995789599,-0.258323995789599,-0.258323995789599,-0.258323995789599,-0.258323995789599,-0.258323995789599,0.029154095812524233,0.14818715210660655,1.0,-0.32041195537533973,-0.28538123513545555,-0.16766824259946733,-0.09129748270592623,-0.05494084326282087,-0.16963835052716045,-0.3059033520634456,0.3511244024418201,-0.16980130431252988,-0.31525507264380176,-0.3133992868153895,-0.15253951710781816,-0.09828536686464732,-0.10632952342503349,-0.029135793963443134,-0.09876903903948472,-0.3034160136418777,-0.3207326670966816,-0.15101500383750233,-0.19482803107556992,-0.19746312588049206,-0.17933518558489964
