,Seq,Dur,RunTime,Mean,Sum,Min,Max,Proto,sTos,sDSb,sTtl,sHops,Cause,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Rate,SrcRate,DstRate,State,TcpRtt,SynAck,AckDat,Label,Attack Type,Attack Tool
0,588,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,48.0,16.0,Start,1,1,0,42,42,0,51480,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
1,1433,3.304014,3.304014,3.304014,3.304014,3.304014,3.304014,tcp,0.0,cs0,63.0,1.0,Start,21,10,11,13005,1042,11963,275516,104.199997,1087.54541,28605.20508,2271.176758,26334.0293,0,0,0,0.0,6.053243,2.723959,3.026622,CON,0.019976,0.001951,0.018025,Malicious,HTTPFlood,Goldeneye
2,833,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,43.0,21.0,Start,1,1,0,42,42,0,71808,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
3,896,0.000875,0.000875,0.000875,0.000875,0.000875,0.000875,tcp,0.0,cs0,63.0,1.0,Status,2,1,1,143,77,66,319168,77.0,66.0,0.0,0.0,0.0,0,0,0,0.0,1142.857056,0.0,0.0,CON,0.015012,0.002014,0.012998,Malicious,SlowrateDoS,Slowloris
4,688,0.438741,0.438741,0.438741,0.438741,0.438741,0.438741,tcp,0.0,cs0,63.0,1.0,Start,9,5,4,810,538,272,179808,107.599998,68.0,11578.58496,7858.850586,3719.734375,0,0,0,0.0,18.233992,9.116996,6.837747,CON,0.014106,0.001512,0.012594,Malicious,SlowrateDoS,Slowloris
5,608,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,62664,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
6,260,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Status,1,1,0,66,66,0,73872,66.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FIN,0.0,0.0,0.0,Malicious,SlowrateDoS,Slowloris
7,249,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,27664,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
8,206,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,23536,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
9,1297,0.087769,0.087769,0.087769,0.087769,0.087769,0.087769,tcp,0.0,cs0,63.0,1.0,Start,19,8,11,12988,1025,11963,246792,128.125,1087.54541,1073089.625,81760.07031,991329.5,0,0,0,0.0,205.083801,79.754807,113.93544,CON,0.035713,0.00245,0.033263,Malicious,HTTPFlood,Goldeneye
