,Seq,Dur,RunTime,Mean,Sum,Min,Max,Proto,sTos,sDSb,sTtl,sHops,Cause,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Rate,SrcRate,DstRate,State,TcpRtt,SynAck,AckDat,Label,Attack Type,Attack Tool
0,5204,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,37.0,27.0,Start,1,1,0,58,58,0,532420,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
1,325,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,50.0,14.0,Start,1,1,0,58,58,0,33420,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
2,2108,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,214768,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
3,1563,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,43.0,21.0,Start,1,1,0,58,58,0,152600,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
4,2648,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,44.0,20.0,Start,1,1,0,58,58,0,268720,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
5,4919,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,53.0,11.0,Start,1,1,0,58,58,0,504940,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
6,7779,0.097042,0.097042,0.097042,0.097042,0.097042,0.097042,icmp,0.0,cs0,58.0,6.0,Start,2,1,1,196,98,98,732532,98.0,98.0,0.0,0.0,0.0,0,0,0,0.0,10.304816,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
7,6965,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,659444,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
8,6955,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,657840,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
9,4280,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,406692,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
10,795,0.074859,0.074859,0.074859,0.074859,0.074859,0.074859,udp,0.0,cs0,64.0,0.0,Status,6,3,3,748,548,200,278280,182.666672,66.666664,53433.78516,39113.53125,14320.25488,0,0,0,0.0,66.792236,26.716894,26.716894,CON,0.0,0.0,0.0,Benign,Benign,Benign
11,2743,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,259704,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
12,1148,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,46.0,18.0,Start,1,1,0,58,58,0,112648,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
13,31,0.04887,0.04887,0.04887,0.04887,0.04887,0.04887,udp,0.0,cs0,64.0,0.0,Status,5,3,2,670,531,139,446244,177.0,69.5,69408.63281,57949.66016,11458.97266,0,0,0,0.0,81.849808,40.924904,20.462452,CON,0.0,0.0,0.0,Benign,Benign,Benign
14,4402,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,36.0,28.0,Start,1,1,0,58,58,0,455188,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
15,3601,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,44.0,20.0,Start,1,1,0,58,58,0,360640,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
16,13,0.0,0.0,0.0,0.0,0.0,0.0,sctp,186.0,ef,252.0,4.0,Status,2,1,1,192,98,94,219372,98.0,94.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CON,0.0,0.0,0.0,Benign,Benign,Benign
17,2061,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,203324,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
18,10,4.979176,4.979176,4.979176,4.979176,4.979176,4.979176,udp,0.0,cs0,117.0,11.0,Status,124,116,8,153073,150015,3058,196932,1293.232788,382.25,243249.8906,238950.375,4299.506348,0,0,0,0.0,24.702883,23.096191,1.405855,CON,0.0,0.0,0.0,Benign,Benign,Benign
19,8,4.965784,4.965784,4.965784,4.965784,4.965784,4.965784,udp,0.0,cs0,117.0,11.0,Status,188,156,32,213298,206368,6930,444928,1322.871826,216.5625,341150.5313,330334.125,10816.41895,0,0,0,0.0,37.6577,31.2136,6.24272,CON,0.0,0.0,0.0,Benign,Benign,Benign
20,1561,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,46.0,18.0,Start,1,1,0,58,58,0,152408,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
21,196,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,40.0,24.0,Start,1,1,0,58,58,0,21036,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
22,8,4.996892,4.996892,4.996892,4.996892,4.996892,4.996892,udp,0.0,cs0,117.0,11.0,Status,109,102,7,137269,133439,3830,696784,1308.225464,547.142883,216797.1563,211541.0938,5256.067383,0,0,0,0.0,21.613436,20.212564,1.200746,CON,0.0,0.0,0.0,Benign,Benign,Benign
23,5031,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,42.0,22.0,Start,1,1,0,58,58,0,515692,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
24,4442,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,54.0,10.0,Start,1,1,0,58,58,0,459028,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
25,3,4.982763,4.982763,4.982763,4.982763,4.982763,4.982763,udp,0.0,cs0,117.0,11.0,Status,256,242,14,310958,306381,4577,1103508,1266.037231,326.928558,496697.9375,489872.8125,6825.129395,0,0,0,0.0,51.176426,48.366741,2.608994,CON,0.0,0.0,0.0,Benign,Benign,Benign
26,5,4.999984,4.999984,4.999984,4.999984,4.999984,4.999984,udp,0.0,cs0,117.0,11.0,Status,168,153,15,208655,204428,4227,905784,1336.130737,281.799988,331261.875,324948.25,6313.620605,0,0,0,0.0,33.400108,30.400099,2.800009,CON,0.0,0.0,0.0,Benign,Benign,Benign
27,3644,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,37.0,27.0,Start,1,1,0,58,58,0,364768,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
28,2484,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,41.0,23.0,Start,1,1,0,58,58,0,252752,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
29,9,4.993251,4.993251,4.993251,4.993251,4.993251,4.993251,udp,0.0,cs0,117.0,11.0,Status,151,129,22,178915,174220,4695,454632,1350.542603,213.409088,284146.7188,276965.8438,7180.893066,0,0,0,0.0,30.04055,25.634602,4.205677,CON,0.0,0.0,0.0,Benign,Benign,Benign
30,4089,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,36.0,28.0,Start,1,1,0,58,58,0,407608,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
31,21,0.092886,0.092886,0.092886,0.092886,0.092886,0.092886,udp,0.0,cs0,64.0,0.0,Status,9,5,4,5136,3181,1955,1111256,636.200012,488.75,345541.8438,219193.4219,126348.4297,0,0,0,0.0,86.127083,43.063541,32.297653,CON,0.0,0.0,0.0,Benign,Benign,Benign
