,Seq,Dur,RunTime,Mean,Sum,Min,Max,Proto,sTos,sDSb,sTtl,sHops,Cause,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Rate,SrcRate,DstRate,State,TcpRtt,SynAck,AckDat,Label,Attack Type,Attack Tool
0,501,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,38.0,26.0,Start,1,1,0,58,58,0,50324,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
1,4190,1.075453,1.075453,1.075453,1.075453,1.075453,1.075453,udp,0.0,cs0,64.0,0.0,Status,19,9,10,6633,4652,1981,431596,516.888916,198.100006,44029.81641,30766.56836,13263.24805,0,0,0,0.0,16.737133,7.438725,8.368567,CON,0.0,0.0,0.0,Benign,Benign,Benign
2,3,4.99802,4.99802,4.99802,4.99802,4.99802,4.99802,udp,0.0,cs0,117.0,11.0,Start,214,196,18,249093,244212,4881,336,1245.979614,271.166656,396280.125,388901.1875,7378.921875,0,0,0,0.0,42.616875,39.01545,3.401347,CON,0.0,0.0,0.0,Benign,Benign,Benign
3,166,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,42.0,22.0,Start,1,1,0,58,58,0,18156,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
4,539,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,50.0,14.0,Start,1,1,0,58,58,0,53972,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
5,29,0.062436,0.062436,0.062436,0.062436,0.062436,0.062436,udp,0.0,cs0,64.0,0.0,Status,6,3,3,730,530,200,433828,176.666672,66.666664,62528.02734,45358.44922,17169.58203,0,0,0,0.0,80.082008,32.032803,32.032803,CON,0.0,0.0,0.0,Benign,Benign,Benign
6,281,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,39.0,25.0,Start,1,1,0,58,58,0,29196,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
7,35,1.880046,1.880046,1.880046,1.880046,1.880046,1.880046,icmp,0.0,cs0,49.0,15.0,Start,2,2,0,108,108,0,4600,54.0,0.0,229.781616,229.781616,0.0,0,0,0,0.0,0.531902,0.531902,0.0,TST,0.0,0.0,0.0,Malicious,SYNScan,Nmap
8,411,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,50.0,14.0,Start,1,1,0,58,58,0,41684,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
9,373,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,48.0,16.0,Start,1,1,0,58,58,0,38036,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
10,21,0.092949,0.092949,0.092949,0.092949,0.092949,0.092949,udp,0.0,cs0,64.0,0.0,Status,8,5,3,4636,3185,1451,201708,637.0,483.666656,302617.5625,219303.0469,83314.5,0,0,0,0.0,75.310112,43.034351,21.517176,CON,0.0,0.0,0.0,Benign,Benign,Benign
11,2141,0.001173,0.001173,0.001173,0.001173,0.001173,0.001173,udp,0.0,cs0,64.0,0.0,Start,2,1,1,220,85,135,219080,85.0,135.0,0.0,0.0,0.0,0,0,0,0.0,852.514954,0.0,0.0,CON,0.0,0.0,0.0,Benign,Benign,Benign
12,2057,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,200484,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
13,4,4.892036,4.892036,4.892036,4.892036,4.892036,4.892036,udp,0.0,cs0,117.0,11.0,Status,140,115,25,157020,151255,5765,214628,1315.260864,230.600006,254249.9688,245198.5313,9051.446289,0,0,0,0.0,28.413528,23.303181,4.905933,CON,0.0,0.0,0.0,Benign,Benign,Benign
14,2093,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,208724,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
15,157,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,37.0,27.0,Start,1,1,0,58,58,0,17292,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
